date,% WEIGHTED ILI,%UNWEIGHTED ILI,AGE 0-4,AGE 5-24,ILITOTAL,NUM. OF PROVIDERS,OT,INFLUENZA A,INFLUENZA B,INFLUENZA A AND B,UNKNOWN
9/29/03 0:00,0.884021,0.960873,808,881,2442,830,254144,0,0,0,0
10/6/03 0:00,1.02773,1.04325,913,1132,2932,931,281045,1,0,0,0
10/13/03 0:00,1.28296,1.0545,878,1147,3031,974,287436,0,0,0,0
10/20/03 0:00,1.32661,1.11231,1006,1369,3475,1007,312412,0,0,0,0
10/27/03 0:00,1.77304,1.41274,1207,2080,4690,1074,331980,3,0,0,0
11/3/03 0:00,2.43814,1.72703,1542,2735,5790,1111,335258,11,0,0,1
11/10/03 0:00,2.72605,2.407,2185,4133,8385,1141,348359,39,0,0,5
11/17/03 0:00,3.73192,3.10962,2561,5684,11141,1129,358275,79,0,0,11
11/24/03 0:00,4.54894,4.30779,3247,4933,11742,1118,272576,101,1,0,14
12/1/03 0:00,5.39906,4.8303,4734,7817,18948,1189,392274,123,1,0,35
12/8/03 0:00,7.38735,6.42905,6620,11550,24962,1173,388269,137,1,0,47
12/15/03 0:00,7.48097,6.86734,6434,9851,23699,1148,345097,157,1,0,73
12/22/03 0:00,7.62797,7.06496,5336,5231,16415,1122,232344,145,0,0,40
12/29/03 0:00,5.14051,4.55115,3391,2894,11332,1139,248992,43,0,0,11
1/5/04 0:00,2.89129,2.41833,1930,2299,7602,1160,314349,30,1,0,16
1/12/04 0:00,2.10429,1.80906,1679,1857,5583,1141,308614,14,0,0,11
1/19/04 0:00,1.88696,1.71202,1721,1604,4961,1084,289774,4,0,0,3
1/26/04 0:00,1.7766,1.5425,1487,1543,4436,1071,287586,4,0,0,4
2/2/04 0:00,1.46001,1.43787,1454,1448,4251,1054,295646,3,0,0,0
2/9/04 0:00,1.37787,1.32427,1420,1297,3824,986,288762,1,0,0,1
2/16/04 0:00,1.30532,1.30726,1301,1255,3691,1004,282347,2,0,0,1
2/23/04 0:00,1.08691,1.03698,956,1038,2916,948,281202,0,0,0,0
3/1/04 0:00,0.991888,1.01032,925,910,2744,894,271597,1,0,0,2
3/8/04 0:00,1.02765,1.05249,878,888,2708,897,257294,0,0,0,1
3/15/04 0:00,1.0579,1.02009,730,826,2487,849,243802,0,0,0,0
3/22/04 0:00,0.849361,0.924419,760,733,2300,859,248805,1,0,0,0
3/29/04 0:00,0.747127,0.790645,610,611,1858,828,234998,0,0,0,0
4/5/04 0:00,0.661708,0.80261,583,566,1705,774,212432,0,0,0,0
4/12/04 0:00,0.679514,0.83613,545,573,1749,755,209178,0,0,0,0
4/19/04 0:00,0.633071,0.792436,501,511,1615,679,203802,0,0,0,0
9/27/04 0:00,0.782758,0.971643,333,382,1116,364,114857,0,0,0,0
10/4/04 0:00,0.982275,0.897159,877,1256,3171,1176,353449,0,1,0,0
10/11/04 0:00,1.01821,1.02248,1071,1373,3631,1187,355116,0,0,0,0
10/18/04 0:00,1.1768,1.06296,1240,1534,4019,1267,378094,0,0,0,0
10/25/04 0:00,1.30121,1.14696,1190,1671,4369,1293,380921,0,0,0,0
11/1/04 0:00,1.27746,1.20495,1327,1718,4551,1302,377692,0,1,0,0
11/8/04 0:00,1.40387,1.30517,1497,1874,4969,1344,380718,6,0,0,0
11/15/04 0:00,1.40301,1.28699,1531,1874,4983,1336,387182,1,0,0,0
11/22/04 0:00,1.73975,1.59468,1490,1678,4713,1341,295546,0,1,0,0
11/29/04 0:00,1.56894,1.39714,1538,2059,5407,1369,387004,0,3,0,0
12/6/04 0:00,1.65927,1.44996,1551,2052,5428,1346,374356,5,2,0,0
12/13/04 0:00,1.81341,1.61745,1670,2071,5755,1379,355806,9,1,0,0
12/20/04 0:00,2.37626,2.19112,1856,1807,5689,1288,259639,22,2,0,1
1/3/05 0:00,2.40064,2.17645,2010,2450,8041,1383,369455,24,6,0,2
1/10/05 0:00,2.54155,2.20171,2188,2982,8323,1342,378024,25,9,0,0
1/17/05 0:00,2.85871,2.53012,2199,3682,9328,1348,368678,44,7,0,1
1/24/05 0:00,3.55011,3.06524,2747,5364,12422,1334,405254,39,8,0,4
1/31/05 0:00,4.58591,3.98061,3086,7650,16192,1303,406772,44,12,0,2
2/7/05 0:00,5.05809,4.59568,3626,8854,19369,1324,421461,47,9,0,3
2/14/05 0:00,5.44151,4.75197,3834,8400,19931,1330,419426,32,10,0,16
2/21/05 0:00,4.4729,4.17962,3720,6759,16630,1280,397883,23,16,0,15
2/28/05 0:00,3.6752,3.45359,2997,5343,13234,1268,383196,21,14,0,8
3/7/05 0:00,3.3353,3.15852,2728,4494,11601,1227,367292,17,13,0,3
3/14/05 0:00,2.76224,2.6732,2416,3513,9502,1185,355454,12,10,0,0
3/21/05 0:00,2.46844,2.35161,2145,2771,7900,1148,335940,10,13,0,2
3/28/05 0:00,2.00081,1.89243,1827,2133,6329,1103,334438,9,9,0,0
4/4/05 0:00,1.54319,1.5249,1422,1737,4816,1048,315823,5,4,0,0
4/11/05 0:00,1.50195,1.41134,1356,1603,4445,1000,314948,2,4,0,0
4/18/05 0:00,1.22918,1.25068,1096,1469,3825,978,305833,1,0,0,0
4/25/05 0:00,1.21854,1.20702,1117,1411,3646,971,302065,3,2,0,0
10/3/05 0:00,1.17778,1.07635,1172,1256,3586,1113,333164,2,0,0,0
10/10/05 0:00,1.21947,1.05869,1285,1247,3582,1160,338343,2,0,0,0
10/17/05 0:00,1.3069,1.11523,1393,1525,4122,1216,369609,0,1,0,0
10/24/05 0:00,1.33931,1.12381,1439,1599,4248,1237,377999,0,0,0,0
10/31/05 0:00,1.58374,1.25489,1639,1894,5005,1280,398840,5,1,0,0
11/7/05 0:00,1.47072,1.33661,1563,1929,5038,1272,376924,1,0,0,0
11/14/05 0:00,1.6112,1.37864,1679,1951,5276,1277,382697,3,1,0,0
11/21/05 0:00,1.82699,1.60829,1666,1593,4802,1301,298578,4,1,0,0
11/28/05 0:00,1.77482,1.48311,1858,2176,5966,1325,402264,6,1,0,1
12/5/05 0:00,1.94451,1.65374,1987,2463,6371,1328,385248,11,0,0,0
12/12/05 0:00,2.35512,2.00679,2241,3063,7697,1318,383548,14,0,0,1
12/19/05 0:00,3.10878,2.56857,2696,3058,8577,1287,333921,35,1,0,3
12/26/05 0:00,3.28238,3.05278,2678,2561,8842,1273,289638,66,1,0,2
1/2/06 0:00,2.62914,2.42504,2422,2366,8339,1319,343871,68,0,0,1
1/9/06 0:00,2.2515,2.00195,2272,2921,7882,1339,393716,55,0,0,3
1/16/06 0:00,2.35858,2.05869,2249,3150,7858,1297,381699,74,0,0,4
1/23/06 0:00,2.41881,2.21277,2643,3646,9114,1331,411882,87,1,0,0
1/30/06 0:00,2.52752,2.3222,2612,4153,9551,1320,411291,120,1,0,5
2/6/06 0:00,2.64954,2.49279,2754,4593,10427,1311,418286,120,3,0,14
2/13/06 0:00,3.12935,2.79489,2624,4979,11226,1288,401661,132,2,0,19
2/20/06 0:00,3.12442,2.96911,2753,5284,11901,1288,400827,142,10,0,9
2/27/06 0:00,3.13099,2.83959,2579,5008,11343,1275,399459,153,15,0,5
3/6/06 0:00,3.08261,2.77799,2564,5106,11261,1257,405365,155,28,0,10
3/13/06 0:00,2.64431,2.47287,2330,4154,9322,1241,376971,129,25,0,4
3/20/06 0:00,2.42295,2.18061,1895,3709,8064,1217,369804,102,26,0,3
3/27/06 0:00,2.31141,2.0168,1697,3393,7313,1165,362605,65,28,0,0
4/3/06 0:00,1.86383,1.64101,1437,2660,5738,1133,349662,45,15,0,3
4/10/06 0:00,1.44943,1.35829,1181,2014,4547,1087,334760,22,16,0,0
4/17/06 0:00,1.30227,1.1428,959,1479,3550,1045,310641,22,7,0,1
4/24/06 0:00,1.13459,1.04031,836,1382,3177,1017,305389,18,3,0,1
10/2/06 0:00,1.15384,1.20322,1434,1699,4513,1323,375076,1,0,0,0
10/9/06 0:00,1.14819,1.05788,1278,1602,4072,1361,384920,1,0,0,0
10/16/06 0:00,1.22736,1.13054,1543,1830,4737,1425,419005,3,0,0,0
10/23/06 0:00,1.21744,1.12552,1582,1996,4888,1445,434287,1,0,0,0
10/30/06 0:00,1.32813,1.20808,1672,2270,5380,1473,445334,4,1,0,0
11/6/06 0:00,1.47754,1.34952,2112,2393,6139,1497,454901,12,0,0,0
11/13/06 0:00,1.5339,1.4689,2355,2681,6668,1474,453945,2,0,0,0
11/20/06 0:00,1.91269,1.82767,2188,2202,6156,1488,336822,4,0,0,1
11/27/06 0:00,1.838,1.6656,2573,2792,7530,1486,452089,11,1,0,0
12/4/06 0:00,1.95376,1.85968,2643,3244,8122,1493,436741,15,1,0,0
12/11/06 0:00,2.40407,2.38891,3270,4470,10396,1492,435177,17,3,0,1
12/18/06 0:00,2.87453,2.78978,3387,4065,10192,1435,365334,39,4,0,0
12/25/06 0:00,3.02597,3.11549,3243,2868,8913,1359,286087,38,4,0,3
1/1/07 0:00,2.37817,2.26942,2927,2481,8386,1490,369521,32,3,0,1
1/8/07 0:00,2.09232,1.86355,2507,2756,7761,1467,416464,32,1,0,2
1/15/07 0:00,2.29396,1.99986,2548,3248,7909,1470,395477,50,6,0,0
1/22/07 0:00,2.74501,2.4406,3410,4684,10888,1495,446119,57,2,0,4
1/29/07 0:00,3.04434,2.83018,3456,5648,12120,1472,428241,71,5,0,0
2/5/07 0:00,3.49999,3.12343,3840,6995,14197,1484,454533,87,11,0,9
2/12/07 0:00,3.57851,3.27019,3879,6668,14031,1461,429057,82,7,0,13
2/19/07 0:00,3.28979,3.17757,3728,6537,14048,1460,442099,76,19,0,2
2/26/07 0:00,2.89149,2.72364,3016,5429,11801,1428,433281,74,15,0,2
3/5/07 0:00,2.62075,2.50201,2798,4937,10715,1408,428255,66,15,0,4
3/12/07 0:00,2.53387,2.4272,2668,4031,9597,1361,395394,77,13,0,0
3/19/07 0:00,2.07251,1.96041,2049,3307,7562,1333,385735,60,8,0,1
3/26/07 0:00,1.87084,1.5914,1664,2508,6148,1303,386327,57,6,0,0
4/2/07 0:00,1.40042,1.36978,1445,1803,4958,1284,361955,32,6,0,0
4/9/07 0:00,1.46887,1.36317,1429,1821,4869,1240,357183,27,5,0,2
4/16/07 0:00,1.15514,1.1737,1257,1523,4179,1206,356055,28,9,0,0
4/23/07 0:00,1.07901,1.06358,1152,1386,3695,1152,347413,26,4,0,3
10/1/07 0:00,0.995184,1.07197,2187,1997,5641,1373,526227,6,0,0,0
10/8/07 0:00,1.22003,1.21786,2387,2433,6444,1429,529126,2,0,0,1
10/15/07 0:00,1.28548,1.24576,2583,2551,6941,1449,557172,4,0,0,0
10/22/07 0:00,1.3775,1.35984,2871,2788,7434,1477,546680,5,0,0,1
10/29/07 0:00,1.46725,1.44671,3074,2998,7915,1485,547104,8,2,0,2
11/5/07 0:00,1.55841,1.53286,3398,3303,8687,1539,566717,5,1,0,1
11/12/07 0:00,1.61958,1.66653,3563,3290,9104,1516,546284,10,1,0,1
11/19/07 0:00,1.8112,1.97488,3651,2631,8570,1523,433951,17,1,0,3
11/26/07 0:00,1.61865,1.67305,3679,3158,9171,1513,548159,18,2,0,0
12/3/07 0:00,1.62124,1.63405,3365,2907,8436,1487,516263,18,3,0,1
12/10/07 0:00,1.67351,1.74595,3298,2694,8091,1453,463416,24,2,0,0
12/17/07 0:00,1.95096,1.93643,3580,2724,8750,1420,451862,40,4,0,3
12/24/07 0:00,2.50019,2.48905,3848,2348,8902,1426,357646,50,8,0,7
12/31/07 0:00,2.43939,2.25405,3737,2568,9706,1486,430603,38,9,0,8
1/7/08 0:00,2.29319,2.09147,3393,3644,11115,1509,531444,52,10,0,1
1/14/08 0:00,2.62907,2.35934,3664,4900,12197,1511,516966,57,19,0,4
1/21/08 0:00,3.92966,3.32331,4289,7661,17171,1508,516683,100,29,0,3
1/28/08 0:00,4.99202,4.43381,5222,11974,24812,1514,559609,185,44,0,9
2/4/08 0:00,5.7776,5.34547,6059,15323,31896,1526,596692,266,96,0,18
2/11/08 0:00,5.98318,5.42258,6244,14336,31625,1518,583210,282,114,0,14
2/18/08 0:00,5.61677,5.30303,5922,12783,30245,1497,570334,322,139,0,25
2/25/08 0:00,4.53234,4.24456,4978,9958,25027,1453,589626,275,153,0,16
3/3/08 0:00,3.83249,3.628,4420,7849,20254,1445,558269,245,121,0,16
3/10/08 0:00,3.21522,3.03463,3878,6112,16714,1412,550776,210,117,0,12
3/17/08 0:00,2.69245,2.53595,3153,4493,13040,1395,514205,128,102,0,13
3/24/08 0:00,2.03366,2.0573,2689,3395,10376,1379,504350,76,69,0,5
3/31/08 0:00,1.65275,1.7415,2372,2697,8583,1327,492850,61,65,0,3
4/7/08 0:00,1.3113,1.40652,2045,2354,7045,1318,500881,27,39,0,1
4/14/08 0:00,1.1652,1.26861,1857,2013,6079,1288,479187,21,32,0,1
4/21/08 0:00,1.02035,1.07719,1572,1713,4953,1208,459808,10,17,0,0
9/29/08 0:00,1.06828,1.02284,1535,2352,5687,1435,555999,3,0,0,0
10/6/08 0:00,1.00756,1.03017,1861,2291,5959,1500,578446,11,0,0,0
10/13/08 0:00,0.979399,1.01245,1869,2219,5896,1525,582351,3,0,0,1
10/20/08 0:00,1.04943,1.08359,1976,2474,6485,1527,598473,10,0,1,0
10/27/08 0:00,1.13218,1.16578,2119,2547,6987,1545,599343,9,0,0,0
11/3/08 0:00,1.13156,1.1913,2276,2668,7297,1555,612526,11,0,0,1
11/10/08 0:00,1.15469,1.28075,2512,2854,7667,1555,598635,8,1,1,2
11/17/08 0:00,1.20448,1.27053,2600,2828,7733,1563,608646,12,2,0,0
11/24/08 0:00,1.36081,1.59578,3024,2412,7634,1523,478386,8,2,0,1
12/1/08 0:00,1.30322,1.4585,3114,2913,8708,1551,597052,15,4,0,3
12/8/08 0:00,1.30204,1.49921,3252,3024,8689,1543,579573,17,0,0,1
12/15/08 0:00,1.45109,1.62982,3137,2579,7812,1416,479318,16,0,0,0
12/22/08 0:00,1.79927,2.15561,3897,2367,8706,1484,403876,29,5,0,2
12/29/08 0:00,2.12134,2.02053,3814,2042,8603,1490,425780,25,4,0,1
1/5/09 0:00,1.47138,1.54566,3245,2548,8956,1539,579428,49,4,0,1
1/12/09 0:00,1.61555,1.64224,3142,3345,9289,1512,565631,48,9,0,1
1/19/09 0:00,1.95333,1.96524,3602,4597,11456,1566,582932,80,8,1,4
1/26/09 0:00,2.42907,2.34368,4039,6602,14324,1554,611176,90,14,0,4
2/2/09 0:00,2.96686,2.86057,4606,8882,18268,1580,638613,120,25,1,8
2/9/09 0:00,3.57354,3.3421,5064,11215,21667,1569,648304,148,31,0,6
2/16/09 0:00,3.36653,3.20566,4848,9851,20022,1543,624583,116,54,1,10
2/23/09 0:00,3.2962,3.10049,4694,10092,20450,1544,659573,106,45,0,4
3/2/09 0:00,3.17227,2.95819,4420,9116,18441,1534,623389,95,52,0,9
3/9/09 0:00,2.5804,2.46381,4046,7446,15711,1524,637672,69,33,0,9
3/16/09 0:00,2.42922,2.19272,3657,6036,13277,1494,605503,53,40,0,2
3/23/09 0:00,1.99028,1.87395,3237,5052,11400,1470,608342,32,23,0,2
3/30/09 0:00,1.72423,1.64817,2829,4283,9669,1440,586651,21,20,0,1
4/6/09 0:00,1.60355,1.49878,2577,3407,8460,1422,564460,10,4,0,1
8/24/09 0:00,2.38017,2.47166,2883,8253,14556,1320,588916,83,0,0,1
8/31/09 0:00,3.44681,3.71969,3713,13114,21350,1358,573972,207,3,2,1
9/7/09 0:00,4.05315,3.94975,4087,13407,22561,1367,571201,198,3,2,1
9/14/09 0:00,4.26621,4.08756,4445,15326,26091,1380,638302,260,3,3,3
9/28/09 0:00,4.8861,4.60362,4974,16291,27919,1331,606458,707,0,5,7
10/5/09 0:00,6.06923,5.66087,9302,27406,48420,2056,855346,952,2,7,6
10/12/09 0:00,7.09467,6.81522,11527,32585,58196,2134,853912,1022,4,2,4
10/19/09 0:00,7.7151,7.61889,13187,39364,69068,2162,906536,887,2,3,1
10/26/09 0:00,7.55134,7.38836,13174,36860,66411,2167,898860,675,5,2,4
11/2/09 0:00,6.67118,6.33927,12161,30860,57017,2197,899425,453,2,1,4
11/9/09 0:00,5.20633,4.94349,10151,21112,42729,2191,864348,324,0,2,2
11/16/09 0:00,4.04477,3.80996,8979,14652,32520,2157,853552,186,2,4,1
11/23/09 0:00,3.49722,3.44106,7716,8237,22508,2146,654101,122,0,2,1
11/30/09 0:00,2.69023,2.66773,7195,7988,21730,2122,814550,86,1,3,2
12/7/09 0:00,2.47119,2.47183,6490,7218,19325,2093,781811,70,0,2,0
12/14/09 0:00,2.44773,2.345,6275,5785,17081,2014,728401,66,1,1,0
12/21/09 0:00,2.64594,2.71435,6078,4127,14575,1934,536961,75,2,0,0
1/4/10 0:00,1.90712,1.98284,4998,3961,14299,1996,721138,56,1,1,0
1/11/10 0:00,1.86738,1.82749,4877,4614,14088,2016,770895,53,2,0,1
1/18/10 0:00,1.88072,1.92606,5399,5079,14757,2053,766177,56,0,1,0
1/25/10 0:00,1.96908,1.92495,5333,5655,15122,2026,785580,37,0,2,0
2/1/10 0:00,2.11387,2.08877,5816,6142,16037,1996,767773,48,3,3,0
2/8/10 0:00,2.09695,2.03434,5496,5577,15381,1977,756068,33,4,2,1
2/15/10 0:00,1.90294,1.97649,5388,5536,15065,1954,762208,48,1,2,0
2/22/10 0:00,1.96951,1.99362,5040,6207,16087,1990,806925,37,3,1,0
3/1/10 0:00,1.92331,1.85383,4281,5685,14486,1953,781411,39,2,1,1
3/8/10 0:00,1.89659,1.8673,4612,5270,14354,1946,768702,38,2,2,0
3/15/10 0:00,1.75181,1.69987,4063,4466,12601,1933,741293,37,1,0,0
3/22/10 0:00,1.52632,1.49741,3625,4108,11191,1917,747358,25,0,1,1
3/29/10 0:00,1.49572,1.45112,3408,3733,10359,1875,713863,16,2,1,0
4/5/10 0:00,1.22313,1.20715,3090,2933,8813,1850,730068,17,0,0,0
4/12/10 0:00,1.17754,1.17415,3117,3110,8801,1831,749563,17,1,0,0
4/19/10 0:00,1.09112,1.16207,2921,3044,8362,1765,719580,9,0,1,0
4/26/10 0:00,1.11958,1.17213,3081,2972,8440,1755,720054,7,0,0,0
10/4/10 0:00,1.10939,1.13505,2627,3142,8473,1838,746485,9,2,1,1
10/11/10 0:00,1.24341,1.25256,2953,3522,9347,1875,746230,12,2,1,0
10/18/10 0:00,1.25726,1.2457,3044,3641,9684,1907,777397,12,3,1,1
10/25/10 0:00,1.25734,1.26774,3226,3822,9904,1929,781234,18,5,0,0
11/1/10 0:00,1.43414,1.43723,3451,4397,11020,1947,766753,18,6,0,0
11/8/10 0:00,1.51838,1.53341,3927,4679,11807,1940,769982,9,8,0,0
11/15/10 0:00,1.61617,1.69445,4416,5322,13336,1921,787038,20,14,1,1
11/22/10 0:00,1.84378,1.9915,4598,4145,12079,1938,606527,21,16,2,1
11/29/10 0:00,1.72535,1.81305,5045,4978,13997,1964,772016,38,26,0,0
12/6/10 0:00,1.87923,2.01426,5060,5867,14958,1936,742606,54,34,2,0
12/13/10 0:00,2.3371,2.55659,6300,7194,18022,1916,704923,77,30,0,0
